지역코드,월,전용면적,층,거래금액_B,연도1,건축년도1,법정동2,아파트2
41220,7,44.1,2,0,62,27,28,19
41480,9,59.99,9,0,60,41,28,37
41190,9,52.58,1,0,59,24,28,28
27230,10,84.9989,3,1,62,53,28,26
45140,3,39.952,4,0,58,38,28,26
28185,11,68.96,20,1,59,57,103,28
44133,7,39.3,1,0,57,28,28,31
47900,10,84.89,7,0,60,45,28,37
31140,2,84.76,2,0,55,28,115,30
26500,3,76.67,2,1,59,17,28,28
41220,5,75.52,18,1,62,57,28,36
26230,5,79.93,9,0,56,20,28,28
11215,6,154.15,9,1,57,44,28,19
43114,2,59.9853,10,0,58,56,28,30
28200,7,59.9945,2,0,57,48,28,28
26320,3,59.98,4,1,63,59,28,19
26380,8,61.29,4,0,56,18,28,28
41550,9,59.854,13,0,59,47,28,22
30140,11,84.9979,8,1,56,53,28,22
28237,11,73.96,2,0,59,29,84,30
26230,8,84.5,3,0,62,32,5,28
41360,3,59.79,1,0,55,31,128,26
41480,1,84.992,13,1,58,44,119,31
26290,2,59.99,10,0,58,40,40,22
42170,2,59.8993,6,0,59,58,28,37
47113,4,59.96,3,0,59,34,28,19
28110,7,72.73,11,0,62,20,28,24
11545,7,129.66,8,1,61,31,28,37
31710,9,73.8,2,0,56,38,28,37
46130,3,59.85,8,0,57,43,28,33
41570,1,84.97,13,1,61,50,28,30
11350,9,49.77,4,1,58,38,146,33
41287,11,59.31,10,1,56,35,153,37
48123,10,84.91,2,0,59,34,93,28
26530,11,84.99,11,0,58,33,28,28
28140,8,84.961,4,0,55,41,28,30
42170,7,39.3,1,0,58,29,28,26
41135,9,84.97,2,1,56,35,163,31
41360,6,84.9272,4,1,60,45,187,36
41117,9,84.8974,7,1,60,48,53,25
11230,11,18.92,3,0,62,55,38,33
30170,10,72.9,12,0,59,26,28,19
45113,11,84.797,1,1,62,52,28,37
45113,12,74.98,11,1,59,53,28,30
27290,5,84.2245,6,1,60,56,28,22
31200,3,49.5,6,0,62,38,177,30
41550,9,59.67,15,0,58,39,28,35
30170,3,43.344,14,0,57,40,28,37
30140,5,120.66,15,0,57,28,28,28
41430,2,84.9404,10,1,63,59,28,30
41190,6,58.05,2,0,55,24,102,19
41117,12,73.79,10,1,62,37,127,28
42110,6,59.76,9,0,56,34,185,37
29140,11,140.8571,3,1,55,46,27,34
27260,8,40.58,3,0,60,31,173,31
41190,4,84.8,10,1,63,57,28,30
42130,5,39.6,1,0,62,34,28,22
36110,3,59.9917,4,1,60,55,9,19
41173,5,39.6,3,0,58,33,14,19
42130,2,42.96,5,0,60,33,153,30
28185,11,101.617,15,1,59,45,103,30
11215,6,59.99,19,1,57,46,154,30
41590,8,84.93,5,1,60,41,65,28
48330,4,49.06,7,0,57,29,28,37
41410,8,59.98,2,0,59,37,85,37
45111,4,59.955,11,0,62,38,98,31
27260,2,157.06,1,1,57,46,28,34
29155,4,84.82,23,1,59,49,28,26
48240,2,84.9473,5,0,59,47,28,30
28185,4,52.14,14,0,55,34,45,22
11650,3,101.91,8,1,55,20,28,28
48330,12,84.99,9,1,60,47,59,30
11350,11,72.17,13,1,59,29,28,25
41550,4,39.75,7,0,60,40,28,31
29200,1,84.9423,22,1,63,48,28,30
26290,9,84.92,9,1,58,53,40,22
41410,7,49.69,8,0,57,35,85,25
41113,1,59.96,8,0,59,37,28,35
41250,4,50.3,10,0,56,44,175,22
11305,5,49.94,15,1,58,31,28,31
41465,11,106.52,3,1,59,42,97,28
28237,8,59.9886,8,0,56,46,28,25
41390,4,142.6106,8,1,60,48,28,30
11590,5,66.69,6,1,57,28,28,30
45113,5,84.9839,10,1,62,57,105,30
41281,12,49.95,16,0,57,36,199,22
27290,4,84.48,22,1,56,47,96,28
41480,5,71.28,10,0,62,32,28,37
45140,10,59.904,15,0,56,52,28,30
42110,2,80.6164,1,0,56,44,200,33
41135,1,58.14,2,1,60,35,28,25
26350,6,59.794,13,0,55,35,64,26
41210,6,60.21,15,1,58,26,178,31
29155,12,84.63,4,0,57,31,28,22
44133,4,84.9988,7,1,60,58,28,33
45140,1,39.952,5,0,59,38,28,26
47113,2,59.3,3,0,55,24,28,22
42150,7,59.74,14,0,57,42,17,19
42150,3,59.89,2,0,62,39,17,19
48123,4,79.69,1,1,55,32,28,28
30170,8,59.9,3,0,56,35,28,19
43150,7,84.9846,13,0,57,48,28,31
41590,3,101.4,11,1,58,55,179,22
29155,5,84.64,7,1,59,47,28,28
47113,11,84.8944,2,0,60,48,122,36
48330,1,59.54,22,0,59,37,28,28
50110,8,84.78,13,1,60,44,28,28
31140,6,84.99,17,1,56,37,89,28
48123,4,47.97,20,0,62,32,39,28
11530,4,84.96,10,1,63,41,28,28
29200,4,84.7886,1,0,59,45,28,28
47290,10,59.96,2,0,59,35,28,30
26380,10,59.9942,6,0,55,45,158,22
47210,7,84.6661,9,1,59,51,28,19
47190,12,45.8895,9,0,62,41,28,26
31110,9,59.93,17,0,56,39,28,22
41173,3,116.507,7,1,60,43,193,22
41590,1,84.927,8,1,61,47,65,26
28237,7,48.48,1,0,55,28,75,22
41463,4,84.98,7,1,63,48,28,37
11740,8,102.34,15,1,58,48,28,24
44200,12,84.65,10,1,59,49,28,30
30170,6,49.59,22,0,56,37,15,30
41173,12,59.94,7,1,62,33,188,33
28260,8,84.9,14,0,55,39,49,22
11290,4,84.96,4,1,56,40,28,19
41650,10,59.4,4,0,59,33,28,30
28237,4,84.34,21,1,58,38,28,33
43114,7,84.98,4,0,62,29,28,28
28200,4,84.93,11,1,60,40,50,26
45113,2,84.9525,12,1,60,58,28,19
41287,1,84.786,21,1,60,35,153,37
48310,10,59.31,2,0,60,38,12,22
30140,12,89.95,5,0,55,18,28,19
41150,2,84.9964,13,0,60,41,139,28
42210,1,51.66,12,0,58,33,17,31
11740,12,84.91,19,1,57,36,28,30
31710,12,84.7195,11,1,55,50,28,28
27290,10,69.9551,21,1,56,56,28,30
11470,10,142.51,3,1,56,26,56,25
41630,7,84.99,4,0,55,47,41,37
41370,1,59.867,10,0,60,40,145,22
41210,7,45.77,2,0,58,30,191,31
28200,9,85.44,5,0,58,20,22,28
31710,7,118.63,14,1,60,54,28,25
11290,4,84.39,9,1,55,31,28,22
44200,3,59.8,4,0,63,38,28,30
41590,2,76.5336,23,1,60,48,34,36
41287,6,70.558,3,1,57,40,182,35
41273,11,59.97,2,1,56,42,181,19
41480,5,118.7267,19,1,59,52,119,37
26350,9,59.985,9,1,55,37,166,34
43113,9,60,7,0,59,39,72,37
48330,12,59.9914,21,1,62,57,58,30
43112,5,59.76,1,0,62,35,28,22
43114,8,84.9673,10,0,56,46,28,30
42750,3,46.98,4,0,58,32,28,31
43114,4,32.76,11,0,55,36,148,22
11740,11,102.34,29,1,59,48,28,24
11230,4,84.774,16,1,55,43,160,24
45140,6,84.94,1,0,60,32,126,28
28177,7,15.6,6,0,55,55,167,22
42110,5,84.933,11,0,57,39,185,35
42130,4,57.84,4,0,63,32,28,22
11500,4,89.975,14,1,56,35,28,22
41465,3,105.548,6,1,58,52,101,28
11470,7,149.28,16,1,56,40,56,26
47150,9,59.64,15,0,62,39,28,22
31110,1,84.9634,14,1,57,55,28,4
44200,3,39.78,8,0,58,40,28,31
41220,10,59.9605,8,0,57,51,28,26
41590,1,59.92,17,0,58,44,71,30
28177,8,90.78,3,0,58,24,28,31
41281,12,59.04,12,0,59,35,192,28
41360,4,61.88,8,0,55,31,28,37
48123,6,34.473,2,0,60,21,28,28
48250,11,84.7721,3,1,60,57,28,19
36110,10,84.6641,6,0,55,48,28,31
28237,11,84.98,18,1,62,50,75,26
28177,8,65.143,4,0,57,24,167,22
11560,2,59.95,7,1,63,57,109,24
41135,11,58.71,6,1,59,35,163,37
44200,3,59.92,12,0,60,45,28,22
41550,6,55.23,1,0,58,43,28,24
27110,3,84.6421,3,1,58,57,28,22
42130,1,59.55,2,0,60,38,37,28
11350,6,84.7,7,1,56,43,13,19
41111,4,59.842,8,1,59,39,28,37
43113,12,59.9335,7,0,57,42,28,37
11290,10,59.75,17,1,56,46,29,19
42210,7,50,4,0,60,35,165,26
26170,5,64.23,12,1,62,18,28,37
28260,2,84.66,4,1,63,57,28,24
48270,9,39.96,3,0,57,28,28,28
41111,7,59.962,8,1,56,39,28,37
41465,8,99.33,18,1,58,40,189,28
41250,6,59.94,3,0,59,31,28,22
41360,10,84.55,18,1,59,55,28,26
26350,6,84.9446,14,1,58,45,161,28
30110,4,58.01,10,0,60,30,28,31
47150,8,49.5,5,0,56,39,28,22
26320,7,51.7,1,0,55,21,28,22
46840,2,84.9902,15,1,56,48,28,19
47113,11,116.8375,17,1,56,53,28,30
44200,12,72.3669,3,0,59,57,28,30
28200,3,76.26,7,1,63,44,4,36
11530,5,64,4,1,57,24,18,19
11200,7,59.76,8,1,55,37,28,29
41173,11,84.9292,1,1,57,44,193,28
41210,2,84.9,2,1,55,47,178,22
11290,7,94.59,1,1,60,44,28,31
26350,12,84.42,1,0,58,29,171,30
41463,1,84.942,14,1,60,40,28,30
47150,1,55.67,9,0,63,44,28,30
11740,7,84.7,5,1,60,44,28,33
48220,1,66.41,5,0,58,47,28,36
29170,3,59.97,7,0,55,36,28,28
45111,9,77.76,4,0,60,35,28,22
26290,9,102.14,20,1,56,53,40,22
41590,4,84.504,5,1,58,47,63,28
47190,5,84.924,5,0,58,50,130,19
41285,3,134.97,12,1,55,35,172,31
41463,11,118.577,17,1,59,44,28,19
42210,4,84.99,1,0,55,31,17,37
42110,7,84.98,8,0,56,47,28,28
26230,8,114.98,14,1,57,37,28,37
11710,6,84.38,8,1,57,35,28,22
41630,6,84.8788,11,0,59,49,28,28
41210,1,75.6,2,1,60,45,28,31
44210,7,62.541,4,0,56,53,28,28
27230,11,47.25,10,0,55,33,184,37
11290,1,59.86,9,1,58,39,28,31
41465,6,134.69,2,1,59,40,169,31
41450,3,49.98,17,1,63,34,28,26
47920,9,59.9917,6,0,60,51,28,25
31140,5,129.93,18,1,60,49,115,22
41360,2,132.57,14,1,60,52,28,22
41480,4,84.99,8,1,59,46,28,28
27260,11,84.7132,7,1,59,44,28,35
41630,2,84.9218,14,0,63,45,90,30
48129,7,59.9,4,0,59,55,28,30
11110,11,100.69,3,1,59,46,28,26
44131,9,59.76,6,0,59,39,28,30
41650,10,77.2505,26,1,62,60,28,36
28185,3,75.12,9,1,55,33,124,22
43130,5,51.75,4,0,62,38,28,30
41670,10,84.6082,9,0,60,54,28,4
50110,7,39.84,6,0,58,40,28,30
45180,11,83.7346,4,0,59,52,28,28
11470,12,108.28,4,1,57,27,115,25
41273,12,84.866,2,1,55,44,109,22
11260,8,84.78,3,1,57,44,28,19
45140,5,39.952,4,0,56,38,28,26
11710,2,83.02,19,1,57,35,28,37
42130,12,117.4263,14,1,55,48,28,30
28185,1,78.2961,19,1,55,50,103,22
44133,10,84.65,8,0,57,44,69,19
26350,5,40.13,4,0,60,20,161,28
41370,9,84.72,2,1,58,53,28,31
46130,1,36.08,7,0,59,48,28,22
27260,5,45.69,7,0,60,35,28,37
11500,12,59.978,12,1,55,53,67,25
50110,2,49.896,10,0,56,40,28,30
30200,6,84.6603,1,1,60,57,174,21
41410,8,36.16,6,0,56,31,85,31
11200,8,59.97,9,1,58,45,28,19
30200,4,119.77,13,1,58,51,28,35
41410,3,49.89,21,1,61,36,85,28
28260,5,59.995,9,0,56,38,28,35
41360,8,59.445,10,0,59,37,135,37
41465,7,59.54,4,1,60,35,189,37
26530,11,41.3,2,0,59,33,28,31
48330,4,84.941,8,1,59,49,59,28
29155,3,84.882,10,1,57,55,28,26
30200,5,84.721,16,1,60,54,174,22
27140,1,84.6139,1,0,55,43,28,30
11350,6,45.77,10,1,60,28,92,28
26290,6,64.78,9,0,62,59,140,25
31710,6,84.76,13,0,60,39,28,29
41410,3,49.59,18,0,57,37,28,31
41480,8,84.72,8,0,57,50,28,31
47290,1,84.9019,2,0,57,47,28,30
48123,9,54.84,3,0,56,27,28,30
44210,1,84.9541,13,0,58,55,28,30
29140,7,59.99,9,0,59,38,28,37
41173,2,49.8,13,1,57,33,14,19
44200,9,39.27,13,0,62,41,28,28
30170,11,84.54,20,0,59,33,28,28
11530,10,101.48,24,1,55,39,28,22
41150,3,101.99,10,1,55,42,108,28
11530,9,36.69,5,0,57,45,28,30
41465,12,84.8,11,1,58,39,169,26
11500,7,70.44,2,1,59,39,67,37
41287,8,49.68,15,0,55,39,168,25
31710,3,45.073,7,0,62,40,28,37
46150,7,84.9912,5,1,58,53,28,31
47130,8,59.89,1,0,56,35,28,37
48121,8,58.97,12,0,57,36,28,19
48240,7,84.9867,3,0,56,50,28,30
30170,4,75.78,5,0,56,44,15,21
11740,5,81.46,4,1,60,50,28,37
41570,5,123.3859,12,1,60,48,157,19
45130,3,84.8211,5,0,59,42,28,31
27710,10,59.99,6,0,57,55,28,10
41463,3,84.94,5,0,60,45,28,26
41820,3,59.86,7,0,57,54,28,26
41150,2,84.96,2,1,57,46,28,21
11350,3,84.87,3,1,56,39,170,31
26320,7,59.97,11,0,56,34,24,19
47290,2,77.34,2,0,59,33,28,19
26200,3,58.46,9,0,62,33,28,22
48250,3,84.961,3,0,59,46,28,31
48250,7,59.98,11,0,60,39,136,30
42110,8,59.99,10,0,59,39,185,35
45113,1,59.54,8,0,58,46,152,37
28260,10,112.04,15,1,56,30,3,26
41150,4,148.98,4,1,59,43,194,28
47111,7,59.78,1,0,60,28,28,31
11590,3,114.91,13,1,58,44,28,37
11350,7,84.66,13,1,57,35,92,19
48330,3,59.9901,34,1,60,56,58,30
48170,1,59.97,5,0,59,57,28,37
41190,11,56.67,3,0,55,28,16,28
41465,3,122.276,18,1,58,51,97,19
11380,11,84.89,5,1,59,50,28,31
45710,4,59.98,10,0,59,36,28,28
28245,9,52.38,4,0,55,26,28,31
44800,3,72.6352,5,0,59,46,28,37
30200,12,84.93,5,1,59,46,28,37
46150,8,156.587,8,1,59,49,28,28
48730,3,57.1398,1,0,60,53,28,26
41133,3,51.53,4,1,56,55,28,28
41360,3,59.95,1,0,56,38,28,28
41281,7,84.93,16,1,56,35,199,26
41590,1,84.01,23,1,60,55,179,9
31200,12,59.8237,11,0,57,44,28,19
31710,7,59.67,5,0,60,38,28,33
44133,3,84.984,9,1,57,49,69,26
41370,11,59.867,15,0,57,40,145,22
41570,2,84.886,13,0,59,41,28,36
41150,8,60,8,0,59,35,108,22
44200,3,59.52,7,0,59,40,28,31
28237,4,50.74,12,0,55,55,77,37
36110,8,84.9916,10,1,60,58,28,37
47190,9,59.81,9,0,62,35,28,22
45113,5,84.9525,9,1,59,58,28,19
48330,1,59.9901,21,1,61,56,58,30
28185,5,59.96,5,1,60,38,28,36
48890,2,84.8775,6,0,60,57,28,19
26230,12,37.65,7,0,62,45,28,37
41570,12,59.539,20,1,59,57,28,37
28710,9,68.203,5,0,62,44,28,19
28245,1,101.423,12,1,63,49,28,19
41360,4,99.6048,8,1,56,54,28,35
41210,6,58.01,2,1,57,30,191,31
41115,3,57.043,10,0,55,41,28,2
48170,3,73.6669,24,1,61,54,28,31
26320,7,42.29,3,0,62,36,24,19
28260,1,84.8372,6,1,55,50,28,22
11305,10,18.6479,7,0,62,54,60,36
26410,3,49.14,9,0,55,32,28,28
41220,10,49.98,12,0,62,36,28,30
48310,5,59.77,14,0,60,38,12,22
27140,6,84.528,12,1,58,55,28,22
11350,11,49.85,9,1,59,30,170,31
47170,4,59.4,7,0,58,34,28,37
48250,8,84.965,3,0,60,44,87,37
42110,2,59.9381,11,0,58,52,28,33
41150,7,47.88,6,0,56,35,108,22
46230,12,84.96,10,0,58,39,171,28
27230,2,55.7,2,0,59,21,28,22
41131,2,84.98,6,1,58,47,28,19
11680,9,154.26,3,1,59,47,28,24
41570,6,59.9412,7,1,57,52,157,37
46230,4,49.95,5,0,57,38,171,28
41190,5,134.79,17,1,59,34,95,20
27140,1,84.35,11,1,58,45,28,28
26230,12,84.98,19,1,59,37,28,28
41190,11,59.92,13,1,55,33,95,26
11740,3,48.6,5,1,55,23,28,31
46130,2,84.9,11,0,55,35,28,37
11260,6,84.97,11,1,59,42,28,21
41150,2,84.99,10,1,60,38,194,37
26320,10,84.88,2,1,59,51,28,26
30170,7,59.54,6,0,56,34,47,21
29155,1,32.16,1,0,59,39,28,37
29140,6,84.9831,7,0,56,42,27,31
41570,8,84.9975,11,1,58,56,190,36
44210,2,84.93,1,0,56,33,28,28
31110,2,74.8417,14,1,63,55,28,4
26260,10,153.5514,9,1,57,48,133,22
44200,10,49.92,4,0,59,38,28,26
27290,9,58.46,8,0,56,32,28,30
43114,3,59.739,12,0,59,40,28,33
29140,2,121.0522,7,1,56,53,28,19
41190,5,36.09,4,0,60,27,28,22
44150,9,39.72,1,0,56,28,28,31
48330,8,83.82,9,0,56,34,28,22
28237,9,59.98,9,1,59,36,75,26
27200,7,84.99,2,0,57,31,28,22
28260,4,84.997,6,1,57,45,28,22
45130,2,46.452,7,0,58,41,28,28
41590,11,59.7118,10,0,60,42,28,19
11350,7,84.5133,4,1,59,45,146,30
29170,4,84.97,10,1,62,39,28,37
41410,2,35.28,9,0,56,32,25,33
43114,4,84.9926,8,1,63,56,28,30
11290,8,59.97,11,1,58,45,29,19
27290,8,74.3578,22,1,59,56,28,22
48121,10,47,1,0,60,31,28,24
41370,11,59.76,1,0,56,36,145,22
11680,10,35.73,2,1,60,37,33,28
41390,6,84.93,3,0,60,40,162,19
41287,1,84.99,6,1,60,34,168,25
11410,6,84.82,5,1,61,58,28,30
46230,4,84.981,13,0,60,52,28,19
41113,1,84.943,9,1,60,45,28,30
30200,1,84.903,16,1,58,44,28,26
27260,9,59.73,17,1,59,37,28,25
29170,6,48.45,15,0,60,40,28,33
11470,12,51.48,6,1,57,28,115,25
41430,6,118.151,4,1,60,49,32,36
41590,1,133.838,2,1,59,47,65,26
47170,2,49.62,14,0,61,38,28,30
11320,8,42.93,11,0,58,28,28,28
11620,11,114.69,12,1,56,44,74,19
27710,5,84.9844,23,1,55,47,28,28
41310,3,84.96,6,1,55,39,28,30
11410,3,63.8,3,1,63,15,28,19
48310,8,39.6,7,0,56,42,12,19
42150,1,84.945,4,0,55,37,28,28
46130,4,59.4,1,0,59,35,28,28
26290,8,71.7271,23,1,60,44,28,30
41370,3,84.557,7,1,63,45,145,22
11440,1,50.54,8,1,63,26,28,28
41190,9,55.26,1,0,55,32,16,19
31110,2,84.585,12,0,63,31,28,28
41461,1,84.74,4,1,56,53,28,30
41360,7,59.95,7,0,60,38,28,28
41465,8,84.957,15,1,58,57,97,24
41500,3,72.9554,4,1,60,57,28,30
31140,11,59.97,4,1,56,41,115,28
41190,7,47.78,4,0,58,29,28,30
41360,7,84.983,15,1,60,47,28,19
28245,8,40.32,4,0,55,37,155,22
30170,5,84.94,7,1,60,35,28,28
