지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
28110,항동7가,2022-07-16 0:00,라이프비취1차,27-107,72.73,11,1980,"18,000"
11545,독산동,2021-07-10,한신아파트,1093-4,129.66,8,1991,"93,500"
31710,범서읍 천상리,2016-09-21 0:00,한라그린피스,가-15-1,73.8,2,1998,17000
46130,돌산읍 우두리,2017-03-02 0:00,청솔3차,1134-2,59.85,8,2003,7200
41570,양촌읍 양곡리,2021-01-15 0:00,양곡 더숲,1238,84.97,13,2010,32000
11350,월계동,9/19/2018 0:00,청백3,780,49.77,4,1998,24500
41287,일산동,2016-11-12 0:00,후곡마을(주공),1103,59.31,10,1995,26400
48123,상남동,10/26/2019 0:00,성원,Jan-45,84.91,2,1994,22000
26530,모라동,11/5/2018 0:00,삼정그린코아,334,84.99,11,1993,18500
28140,화수동,2015-08-24 0:00,영풍,Apr-79,84.961,4,2001,22000
42170,북평동,2018-07-04 0:00,북평주공2차,151-5,39.3,1,1989,5400
41135,정자동,2016-09-27 0:00,정든마을(2단지)(동아),198,84.97,2,1995,50900
41360,평내동,2020-06-09 0:00,평내마을중흥에스-클래스(3단지),608,84.9272,4,2005,27000
41117,매탄동,9/10/2020 0:00,매탄위브하늘채,1352,84.8974,7,2008,62400
11230,답십리동,2022-11-25 0:00,청계푸르지오시티,497-23,18.92,3,2015,"13,800"
30170,가수원동,2019-10-14 0:00,계룡,643,72.9,12,1986,12000
45113,덕진동2가,2022-11-01 0:00,하가더루벤스,683,84.797,1,2012,"28,000"
45113,장동,2019-12-31 0:00,엘에이치이노팰리스,1082,74.98,11,2013,24900
27290,유천동,2020-05-25 0:00,대구월배2차 아이파크,612,84.2245,6,2016,46000
31200,천곡동,2022-03-05 0:00,우방,940-1,49.5,6,1998,"7,400"
41550,공도읍 용두리,2018-09-04 0:00,태산1차,683,59.67,15,1999,9300
30170,용문동,2017-03-23 0:00,한마음,285-3,43.344,14,2000,9000
30140,태평동,2017-05-22 0:00,삼부4,393,120.66,15,1988,18000
41430,학의동,2023-02-28 0:00,의왕백운 해링턴 플레이스 5단지,1122,84.9404,10,2019,"81,000"
41190,송내동,2015-06-02 0:00,건우1,339-1,58.05,2,1984,16500
41117,영통동,2022-12-08 0:00,삼익,957-6,73.79,10,1997,"51,500"
42110,퇴계동,2016-06-09 0:00,현대2,916,59.76,9,1994,13500
29140,금호동,2015-11-30 0:00,코아루,447-9,140.8571,3,2006,38000
27260,지산동,2020-08-28 0:00,지산타운,1288,40.58,3,1991,12000
41190,옥길동,2023-04-08 0:00,옥길센트리뷰,771-1,84.8,10,2017,"60,000"
42130,단계동,2022-05-09 0:00,단계은행,806,39.6,1,1994,"7,500"
36110,고운동,3/18/2020 0:00,가락마을15단지(중흥파크뷰),1393,59.9917,4,2015,28500
41173,관양동,5/26/2018 0:00,공작성일,1587-5,39.6,3,1993,23400
42130,일산동,2020-02-19 0:00,우보삼성,333-3,42.96,5,1993,5700
28185,송도동,2019-11-05 0:00,아이파크송도,3-46,101.617,15,2005,51700
11215,자양동,2017-06-24 0:00,이튼타워리버1차,510-5,59.99,19,2006,60000
41590,반월동,8/24/2020 0:00,신영통현대3차,860,84.93,5,2001,31800
48330,신기동,2017-04-06 0:00,해강,169-4,49.06,7,1989,7500
41410,산본동,8/31/2019 0:00,한라주공4-2,1156-15,59.98,2,1997,23500
45111,서신동,2022-04-14 0:00,중흥S-클래스,962-2,59.955,11,1998,"19,000"
27260,황금동,2017-02-10 0:00,캐슬골드파크5단지,365,157.06,1,2006,59500
29155,방림동,2019-04-05 0:00,방림휴먼시아,562,84.82,23,2009,39000
48240,향촌동,2/8/2019 0:00,월아푸른솔,943-10,84.9473,5,2007,16700
