지역코드,월,전용면적,층,거래금액,거래금액_B,법정동1,아파트1,거래금액1,연도1,건축년도1
27260,6,49.92,10,18500,0,기타동,ㅎ,9.825580064,57,35
48250,4,84.752,10,19500,0,삼문동,ㅈ,9.878221025,63,44
30170,8,101.93,6,28000,1,월평동,ㅁ,10.2399955,56,34
46150,3,49.71,1,4000,0,조례동,ㅁ,8.294299609,56,29
41410,8,58.71,10,40000,1,산본동,ㅇ,10.59665973,60,34
41135,8,59.995,4,53000,1,기타동,ㅅ,10.87806606,57,31
47190,5,84.7474,4,24700,1,기타동,ㅎ,10.11459901,60,56
41220,4,46.68,5,15000,0,기타동,ㅈ,9.615872145,60,29
28237,4,118.1342,18,49800,1,삼산동,ㅅ,10.81579034,56,44
41465,1,74.1285,10,49800,1,풍덕천동,ㅅ,10.81579034,60,35
11440,10,59.97,9,48000,1,기타동,ㅎ,10.77897712,55,37
29170,2,84.3616,20,36000,1,기타동,ㄱ,10.49130199,63,53
30230,11,39.72,3,10700,0,기타동,ㅈ,9.278092474,56,26
41630,2,49.71,5,12200,0,기타동,ㅈ,9.409273195,59,40
41570,10,84.9973,6,37500,1,장기동,ㅎ,10.53212288,60,52
11200,3,84.93,4,73000,1,기타동,ㅅ,11.19822842,59,26
41465,12,101.954,19,55500,1,성복동,ㅂ,10.92415632,57,50
41630,3,49.774,3,26900,1,덕계동,ㅇ,10.19991874,63,61
28177,6,32.11,5,8500,0,기타동,ㅇ,9.047939083,62,42
41450,6,49.98,13,32500,1,기타동,ㅂ,10.38902614,59,34
41550,3,84.982,19,22800,0,기타동,ㅇ,10.03455967,56,44
41190,6,84.989,19,62500,1,중동,ㅍ,11.04293784,60,49
45111,5,59.028,5,10350,0,서신동,ㅆ,9.244838412,56,36
45130,5,34.38,5,3200,0,기타동,ㅅ,8.07121854,62,30
26380,8,39.78,7,7700,0,다대동,ㅅ,8.94910547,56,31
41360,9,84.96,6,19800,0,기타동,ㅅ,9.89348772,59,35
44200,6,79.9897,18,27850,1,기타동,ㅌ,10.23462415,62,55
28260,3,84.935,4,17300,0,기타동,ㄱ,9.758519582,59,44
45111,7,84.68,4,28500,1,기타동,ㅇ,10.25769445,59,50
27290,4,84.9172,11,31500,1,기타동,ㅅ,10.35777457,55,47
11410,11,59.94,11,29300,1,기타동,ㅁ,10.28537692,55,42
41370,6,84.9355,12,21800,0,고현동,ㄱ,9.989711119,59,49
26290,3,84.79,8,17300,0,기타동,ㅇ,9.758519582,60,52
44150,10,84.66,5,6300,0,기타동,ㄱ,8.74846363,60,26
43130,10,84.73,1,9800,0,연수동,ㅇ,9.1902397,60,30
11680,7,84.43,7,112000,1,기타동,ㅇ,11.62626308,55,19
11440,1,95.9,3,38500,1,기타동,ㅅ,10.55843949,56,43
41370,3,59.553,10,15000,0,원동,ㄷ,9.615872145,55,40
41113,7,84.913,1,38000,1,권선동,ㅅ,10.54536775,59,52
11590,3,110.78,4,42500,1,사당동,ㅈ,10.65728288,55,44
29140,4,84.9,11,21500,0,기타동,ㅁ,9.975854725,55,38
41220,6,59.854,10,11000,0,기타동,ㄷ,9.305741457,59,43
11680,3,110.51,3,83000,1,기타동,기타아파트,11.32660793,58,45
41135,1,84.6283,14,59400,1,기타동,ㅅ,10.99206634,55,49
27290,1,84.9249,11,52000,1,기타동,ㅇ,10.85901823,60,56
48250,3,59.9888,4,10000,0,삼문동,ㄱ,9.210440367,60,43
41480,10,59.921,5,24350,1,와동동,ㄱ,10.1003282,55,50
41273,4,75.126,10,32300,1,초지동,ㅅ,10.38285347,55,44
42150,4,104.17,5,11000,0,기타동,ㄷ,9.305741457,62,29
