전용면적,층,연도1,건축년도1,지역코드_2자리_11,지역코드_2자리_26,지역코드_2자리_27,지역코드_2자리_28,지역코드_2자리_41,지역코드_2자리_43,지역코드_2자리_44,지역코드_2자리_45,지역코드_2자리_46,지역코드_2자리_47,법정동1_기타동,거래금액1,
84.887,3,60,50,0,0,0,0,0,0,1,0,0,0,0,10.16972891,
45.9078,8,60,41,0,0,0,0,0,0,0,0,0,0,1,10.06479825,
59.7,7,56,37,0,0,0,0,1,0,0,0,0,0,1,10.11054237,
84.969,7,59,48,0,0,0,0,1,0,0,0,0,0,0,11.18443529,
84.6742,8,59,57,0,0,0,0,1,0,0,0,0,0,1,10.8685875,
59.53,11,60,44,0,0,0,0,1,0,0,0,0,0,0,9.918425425,
111.38,10,60,37,1,0,0,0,0,0,0,0,0,0,1,10.82578024,
59.414,11,60,49,0,0,0,0,1,0,0,0,0,0,0,10.49130199,
33.1,14,57,38,0,1,0,0,0,0,0,0,0,0,0,9.036106025,
58.74,14,60,35,0,0,0,0,1,0,0,0,0,0,0,10.59665973,
59.97,7,55,37,0,0,0,0,0,0,0,0,0,0,1,9.803722464,
59.73,10,57,36,0,0,1,0,0,0,0,0,0,0,1,10.08585078,
59.49,5,57,41,1,0,0,0,0,0,0,0,0,0,0,10.51599393,
59.9618,17,63,55,0,0,0,0,0,0,0,0,0,1,1,9.680406499,
59.87,9,60,36,1,0,0,0,0,0,0,0,0,0,1,10.68512626,
75.309,4,55,55,0,0,0,0,0,0,0,0,0,0,1,9.738259073,
84.9461,14,59,47,0,0,0,0,0,0,0,0,0,1,1,10.24356044,
59.9,14,56,34,0,0,0,0,0,0,0,0,0,0,0,8.99974279,
59.795,2,63,37,0,0,0,1,0,0,0,0,0,0,1,9.952325335,
59.9283,1,57,43,0,0,1,0,0,0,0,0,0,0,1,9.933094897,
73.02,7,57,30,0,0,1,0,0,0,0,0,0,0,1,10.09000861,
84.93,1,57,36,0,0,0,0,0,0,0,0,0,1,1,8.853808275,
119.34,11,57,41,0,0,0,0,1,0,0,0,0,0,1,11.04772628,
84.9537,1,58,57,0,0,0,0,0,1,0,0,0,0,1,10.09580069,
59.95,11,58,36,0,0,0,0,0,0,0,0,1,0,1,9.305741457,
41.25,7,63,39,0,0,0,0,0,0,0,0,0,0,0,9.105090961,
84.75,3,60,60,0,0,0,0,1,0,0,0,0,0,1,11.09742517,
84.9906,5,60,46,0,0,0,0,0,0,0,0,0,0,1,9.615872145,
59.96,3,60,34,0,0,0,0,0,0,0,0,0,1,1,8.716207971,
83.97,6,62,30,0,0,0,0,0,0,0,0,0,0,1,9.674137279,
64.98,13,57,26,1,0,0,0,0,0,0,0,0,0,0,11.31082152,
51.85,8,56,49,0,0,0,0,0,0,0,0,0,0,1,9.84697011,
15.449,8,57,45,0,0,0,0,1,0,0,0,0,0,1,8.987321813,
59.97,13,60,34,0,0,0,0,0,0,0,1,0,0,1,8.987321813,
38.61,3,57,37,0,0,0,0,0,1,0,0,0,0,1,7.937731775,
59.76,6,55,41,0,0,0,0,0,0,0,0,0,0,0,9.210440367,
84.9933,14,58,55,0,0,0,0,0,0,0,0,0,0,1,10.44001016,
59.8159,11,60,46,0,0,0,0,0,0,0,0,0,0,0,10.07327252,
71.06,13,58,38,1,0,0,0,0,0,0,0,0,0,1,10.34177474,
46.35,3,55,28,0,0,1,0,0,0,0,0,0,0,0,9.465060107,
46.94,4,58,21,0,1,0,0,0,0,0,0,0,0,0,9.44943601,
84.93,4,59,37,0,0,0,0,1,0,0,0,0,0,0,9.998843186,
114.945,14,59,48,0,0,0,0,1,0,0,0,0,0,0,10.79959599,
84.72,3,57,50,0,0,0,0,1,0,0,0,0,0,1,10.02131503,
84.9546,15,60,46,0,0,0,0,0,0,1,0,0,0,1,9.787009914,
104.61,17,56,47,0,0,0,0,1,0,0,0,0,0,0,10.48153248,
84.9,7,60,36,0,0,0,0,0,0,0,0,1,0,1,8.987321813,
39.6,7,58,32,1,0,0,0,0,0,0,0,0,0,0,10.5132803,
59.98,15,60,36,0,0,0,0,1,0,0,0,0,0,0,10.06479825,
84.992,10,63,54,0,0,0,0,0,0,0,0,0,0,1,9.711176264,
84.97,13,56,48,1,0,0,0,0,0,0,0,0,0,0,11.03167482,
83.9456,5,58,57,0,0,0,0,0,0,0,0,0,1,1,9.961803629,
62.482,8,63,33,0,0,0,1,0,0,0,0,0,0,0,10.33530244,
59.95,7,59,36,0,0,0,0,0,0,0,0,0,0,1,9.25922577,
72.6283,13,56,42,0,0,0,0,1,0,0,0,0,0,1,10.22197765,
82.65,7,58,19,0,0,1,0,0,0,0,0,0,0,1,9.985113621,
132.18,8,60,31,0,1,0,0,0,0,0,0,0,0,1,10.2399955,
89.455,24,59,32,0,0,0,0,1,0,0,0,0,0,0,10.89304733,
106.022,15,60,40,0,0,0,0,1,0,0,0,0,0,0,10.5374419,
44.18,4,57,29,0,0,0,0,1,0,0,0,0,0,0,9.093918909,
84.955,2,60,43,0,0,0,0,0,0,0,0,0,0,1,9.798182591,
59.7686,14,55,41,0,0,0,0,0,0,0,0,0,0,0,10.44874359,
56.065,1,57,42,0,0,0,0,1,0,0,0,0,0,0,10.70326694,
84.78,13,56,37,0,0,0,1,0,0,0,0,0,0,1,10.08376536,
84.99,4,59,40,0,0,0,0,1,0,0,0,0,0,1,9.764282955,
84.9921,14,58,56,0,0,0,0,1,0,0,0,0,0,1,10.64544871,
59.99,17,58,37,0,0,0,0,1,0,0,0,0,0,0,9.998843186,
76.56,5,63,32,0,0,0,0,0,0,0,0,0,1,1,8.131824785,
59.9297,6,59,56,0,0,0,0,1,0,0,0,0,0,1,10.32551475,
59.866,18,60,42,1,0,0,0,0,0,0,0,0,0,1,10.81378033,
59.97,4,59,57,0,0,0,0,0,0,0,0,0,0,1,9.878221025,
84.993,12,60,58,0,0,0,0,0,0,0,0,1,0,1,10.04329297,
116.02,7,59,49,0,1,0,0,0,0,0,0,0,0,0,10.54536775,
59.84,4,58,38,0,1,0,0,0,0,0,0,0,0,1,10.03455967,
84.4873,8,60,55,0,1,0,0,0,0,0,0,0,0,0,11.30221678,
84.736,4,59,44,0,0,0,0,0,0,0,0,0,0,1,9.350189267,
59.99,6,62,37,0,0,0,0,1,0,0,0,0,0,0,10.76428672,
59.34,13,62,32,0,0,0,0,0,1,0,0,0,0,0,9.602450025,
46.62,1,57,27,0,0,0,0,1,0,0,0,0,0,1,9.244838412,
84.98,9,56,39,1,0,0,0,0,0,0,0,0,0,0,10.31473591,
79.3239,3,62,61,0,0,0,0,0,0,0,0,0,0,1,10.2399955,
63.06,1,63,28,0,0,0,0,0,0,0,1,0,0,1,9.024131268,
84.86,11,57,50,0,0,0,0,1,0,0,0,0,0,0,10.33530244,
51.59,8,60,33,0,0,0,0,1,0,0,0,0,0,0,10.40429314,
84.75,12,55,38,0,0,0,0,0,0,0,0,0,0,1,10.09414923,
39.72,3,60,25,0,0,0,0,0,0,0,0,0,1,1,8.936035097,
76.15,15,58,38,0,0,0,0,0,0,0,0,1,0,0,9.729193687,
59.965,11,55,37,0,0,0,0,1,0,0,0,0,0,0,10.12266324,
134.894,12,59,47,0,0,0,1,0,0,0,0,0,0,0,10.56877524,
84.33,1,58,27,1,0,0,0,0,0,0,0,0,0,1,10.90963727,
59.97,3,55,35,0,0,0,0,0,0,1,0,0,0,1,9.711176264,
117.5025,4,55,44,0,0,0,0,0,0,1,0,0,0,0,10.51870022,
59.983,12,63,47,1,0,0,0,0,0,0,0,0,0,1,11.39640288,
59.87,11,63,56,0,0,0,0,1,0,0,0,0,0,0,10.77480184,
60,14,61,39,0,0,1,0,0,0,0,0,0,0,1,9.860110213,
59.97,20,63,36,0,0,0,0,0,0,1,0,0,0,0,9.661479684,
66.23,2,55,42,1,0,0,0,0,0,0,0,0,0,1,9.923339198,
79.7124,15,58,40,0,0,0,0,1,0,0,0,0,0,1,10.27508559,
57.46,14,55,34,1,0,0,0,0,0,0,0,0,0,1,10.14647295,
128.9491,10,55,48,0,0,0,0,0,0,0,0,0,0,1,10.20362918,
51.86,9,60,45,0,0,0,1,0,0,0,0,0,0,0,10.46027076,
52.19,4,58,26,0,0,0,0,0,0,0,0,1,0,0,8.188966864,
84.98,13,59,56,0,0,0,0,1,0,0,0,0,0,1,11.40757606,
84.9916,12,55,44,0,0,0,0,0,1,0,0,0,0,1,10.03893586,
59.98,7,55,40,1,0,0,0,0,0,0,0,0,0,0,10.26119696,
40.36,13,63,36,0,0,0,0,0,0,0,0,0,0,1,9.1902397,
69.793,14,56,56,0,0,0,0,0,0,0,0,0,0,1,10.01686088,
59.52,7,59,40,0,0,0,0,0,0,1,0,0,0,1,9.43356392,
84.7,7,58,32,1,0,0,0,0,0,0,0,0,0,1,10.91328684,
120.55,6,56,50,0,0,0,0,1,0,0,0,0,0,1,10.67130148,
49.53,16,63,40,0,0,0,0,1,0,0,0,0,0,1,9.595670798,
59.74,6,56,38,0,0,0,0,0,0,0,0,0,1,0,9.018089684,
84.6814,6,62,50,0,0,0,0,0,0,1,0,0,0,1,9.581972892,
58.451,7,59,38,0,0,0,0,0,0,0,0,0,0,1,9.770013301,
