기준_년분기_코드,상권_구분_코드,상권_코드,서비스_업종_코드,당월_매출_금액,당월_매출_건수,주말_매출_금액,월요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,주중_매출_건수,월요일_매출_건수,일요일_매출_건수,시간대_건수~11_매출_건수,시간대_건수~21_매출_건수
20224,D,3120233,CS100010,253965456.0,30403,65995767.0,36209809.0,26465570.0,0.0,85268970.0,53264825.0,117505083.0,763081,53569124,76053570.0,23152,4540,2794,7419,5284
20224,A,3111066,CS100010,116039768.0,26618,40494208.0,15710039.0,19345945.0,0.0,38742857.0,31374903.0,60296163.0,3144413,31283873,36947107.0,17400,3313,4309,3220,6301
20224,D,3120186,CS100010,4372423799.0,352711,1483566776.0,455113872.0,624269904.0,47714917.0,1106034697.0,1320183110.0,2349696474.0,63070817,1413788041,1167433671.0,250920,44523,40374,45179,86733
20224,A,3110949,CS100010,107547815.0,10068,27085553.0,13300260.0,10088795.0,0.0,47917705.0,6185573.0,36296083.0,499112,16549946,26224266.0,7858,1297,948,3012,393
20224,A,3111007,CS100010,28421859.0,4399,6357656.0,4021171.0,0.0,0.0,12204757.0,1463983.0,17885599.0,0,2118728,12012012.0,3473,721,0,1045,279
20224,A,3111006,CS100010,216128903.0,22436,78056083.0,25720411.0,35513601.0,0.0,88024197.0,48096796.0,120556574.0,2901554,49295627,72100615.0,15428,3057,3144,2605,4814
20224,A,3111086,CS100010,318143454.0,74398,88133057.0,46728106.0,40866238.0,0.0,101602459.0,70736037.0,188477372.0,30307248,39535267,61450558.0,52408,10767,10272,10640,16814
20224,A,3111073,CS100010,253728210.0,28379,50006474.0,32558026.0,19807582.0,0.0,118613954.0,29199984.0,135680021.0,53329,40234396,68055786.0,23285,4168,1996,8168,2961
20224,A,3111076,CS100010,210852504.0,32423,74642443.0,27025426.0,36494390.0,0.0,62622904.0,55994434.0,113421693.0,2260925,51598955,60830085.0,21326,4244,5195,6187,7195
20224,D,3120212,CS100010,1392043378.0,168425,525530963.0,148330737.0,234140327.0,0.0,384844689.0,392031528.0,789322315.0,81261778,190094956,192667919.0,105601,18543,27512,24056,47602
20224,R,3130051,CS200001,30000000.0,66,0.0,0.0,0.0,0.0,6557377.0,13634603.0,27045455.0,0,0,2250000.0,66,0,0,0,40
20224,A,3110064,CS200001,99565426.0,403,18223747.0,10919943.0,5459213.0,1066220.0,6119139.0,52301286.0,42974828.0,0,0,10695137.0,360,38,15,0,204
20224,A,3110166,CS200001,352663500.0,1035,18152972.0,60834595.0,4427554.0,0.0,8138320.0,248430069.0,264584710.0,0,0,0.0,991,200,22,65,533
20224,A,3110157,CS200001,12815417.0,39,0.0,2349493.0,0.0,0.0,0.0,8330021.0,6621299.0,0,0,0.0,39,4,0,0,27
20224,A,3110277,CS200001,35878902.0,147,1371443.0,6661293.0,1371443.0,0.0,0.0,9527609.0,20669602.0,0,0,0.0,137,19,10,10,49
20224,D,3120070,CS200001,1246405449.0,3719,285205155.0,198172148.0,95324446.0,7191857.0,79041447.0,630807824.0,704474668.0,2274607,6166528,49063177.0,2882,530,278,161,1843
20224,D,3120076,CS200001,22664869.0,67,2508966.0,13727357.0,0.0,0.0,3649406.0,2322965.0,6386460.0,0,0,0.0,62,37,0,0,15
20224,A,3110387,CS200001,94575055.0,494,1428132.0,8032198.0,0.0,2856263.0,11803108.0,37680212.0,55668895.0,0,0,18069559.0,480,53,0,0,124
20224,A,3110650,CS200001,153507152.0,534,23340692.0,19617079.0,12563407.0,0.0,19426841.0,76818423.0,98245275.0,0,0,15356482.0,450,79,36,30,245
20224,A,3110842,CS200001,610287464.0,2421,62363300.0,40594919.0,0.0,0.0,58486074.0,293995402.0,388013138.0,0,0,161228579.0,2153,159,0,61,1149
20224,A,3110698,CS200001,149920498.0,537,9358574.0,17655478.0,9358574.0,0.0,9358574.0,55138165.0,27487964.0,0,0,12315891.0,519,87,18,9,162
20224,A,3110820,CS200001,1611293901.0,6981,431106937.0,203869008.0,156910994.0,15157229.0,130214046.0,838103664.0,946944445.0,179297,0,34008434.0,4931,899,798,306,3241
20224,A,3110890,CS200001,114172487.0,252,1798785.0,17181996.0,0.0,0.0,1798785.0,68350236.0,25499577.0,0,0,0.0,245,37,0,0,145
20224,A,3110718,CS200001,27361502.0,40,4948357.0,9023474.0,0.0,0.0,0.0,17464788.0,24450704.0,0,0,0.0,34,11,0,6,28
20224,A,3110586,CS200001,70539276.0,164,4593501.0,13991698.0,4593501.0,3748719.0,7233444.0,10454174.0,24340273.0,0,0,0.0,153,32,11,0,32
20224,D,3120113,CS200001,6155397010.0,19391,1398349982.0,981456026.0,572198730.0,129691412.0,709987668.0,2347078548.0,3383091113.0,4070564,24053768,389297785.0,14957,3289,1527,1821,7110
20224,A,3110549,CS200001,741704860.0,3068,202435123.0,128471093.0,59664310.0,0.0,45758102.0,409919699.0,452618718.0,254050,564972,11793502.0,2265,468,237,72,1624
20224,A,3110496,CS200001,702257805.0,2567,44245242.0,122899164.0,19470561.0,15996770.0,85585819.0,264905571.0,496395077.0,309615,0,27613832.0,2418,447,56,198,1052
20224,A,3110577,CS200001,791937253.0,1691,131402655.0,126849242.0,49739033.0,0.0,169077236.0,185746554.0,396165874.0,0,0,258059194.0,1306,363,126,225,511
20224,A,3110598,CS200001,157968504.0,544,0.0,46165793.0,0.0,0.0,7282101.0,64979703.0,68700877.0,0,0,6258946.0,544,155,0,48,228
20224,D,3120238,CS200001,992565989.0,2983,305139845.0,117048230.0,110140925.0,0.0,114183215.0,512864261.0,438349056.0,0,0,35162257.0,1919,326,373,75,1507
20224,R,3130313,CS200001,323264858.0,1109,100612029.0,65841995.0,11925039.0,0.0,67708547.0,123148838.0,196056648.0,49156,0,177238.0,687,145,77,107,413
20224,A,3110919,CS200001,86077078.0,273,3412635.0,15733186.0,0.0,0.0,10323433.0,30705158.0,62120213.0,0,0,171059.0,264,42,0,0,111
20224,A,3110255,CS200016,1304595.0,90,520429.0,0.0,98650.0,0.0,0.0,200320.0,70464.0,0,131869,70464.0,40,0,10,0,30
20224,A,3110241,CS200016,31141262.0,1865,11489869.0,4109239.0,4643401.0,5128472.0,550920.0,12128127.0,1461170.0,366043,1844467,4892868.0,1136,210,296,0,693
20224,D,3120072,CS200016,96360484.0,5222,30205798.0,16266366.0,13988047.0,8735481.0,3623381.0,50839236.0,42643439.0,5057825,25639323,27583927.0,3136,690,988,0,1976
20224,A,3110357,CS200016,1869840.0,142,1283358.0,168359.0,738809.0,135674.0,0.0,795546.0,0.0,0,215845,98672.0,60,18,43,0,68
20224,A,3110415,CS200016,113524728.0,4228,26511677.0,13016016.0,10170698.0,3596827.0,15444014.0,43326146.0,48304894.0,2430457,23960447,18501497.0,2404,370,711,0,1956
20224,D,3120081,CS200016,356396098.0,15779,136463383.0,44693758.0,57599770.0,7493257.0,33719701.0,160813968.0,91463909.0,2260346,141084572,59633060.0,9153,1535,2800,515,6086
20224,D,3120149,CS200016,221631423.0,12911,69526155.0,29350845.0,23908519.0,6949861.0,16450567.0,112573243.0,14824013.0,60441,7705137,8292320.0,9176,1702,1027,126,6236
20224,D,3120144,CS200016,9139050.0,194,990715.0,239858.0,302429.0,0.0,104286.0,3603478.0,6116510.0,531857,0,302429.0,120,31,21,7,76
20224,A,3110740,CS200016,4753589.0,302,2452463.0,461001.0,1698098.0,0.0,100893.0,2312767.0,627086.0,0,839736,498254.0,157,39,83,0,129
20224,A,3110759,CS200016,122657747.0,1980,42900833.0,50017511.0,3029398.0,2590507.0,47916200.0,54157433.0,2380574.0,0,9688301,3215115.0,1398,212,157,0,854
20224,R,3130290,CS200016,35497647.0,2747,11798303.0,3056892.0,5502889.0,2581105.0,304535.0,18453930.0,1091409.0,0,1264133,2178611.0,2021,242,325,0,1583
20224,A,3110668,CS200016,14906783.0,937,6617981.0,2173132.0,4204501.0,514490.0,2023872.0,5197597.0,1244916.0,283494,1346383,1669380.0,506,117,277,0,298
20224,D,3120113,CS200016,33818027.0,1490,7513221.0,3556415.0,3112734.0,1826011.0,523417.0,13887303.0,9800126.0,2644007,2750618,4125716.0,953,153,216,4,538
20224,D,3120108,CS200016,69495915.0,3292,26773065.0,5356598.0,11297432.0,2532106.0,4378520.0,36435788.0,20848007.0,435420,1886698,3467717.0,2148,381,463,0,1470
20224,R,3130191,CS200016,31594240.0,2212,14305828.0,2724934.0,4905599.0,3146548.0,413653.0,14404057.0,6322650.0,3317406,14201587,5003566.0,1249,198,335,0,1007
20224,D,3120093,CS200016,67734184.0,1181,6161554.0,4493190.0,2274005.0,1176395.0,7832339.0,30816014.0,40768773.0,82864,23707752,23323809.0,785,95,204,28,476
20224,A,3110431,CS200016,79413659.0,5995,43002764.0,8994946.0,15864954.0,5479203.0,2503763.0,37137412.0,4020596.0,704657,4714138,3713800.0,3100,657,1045,0,2796
20224,D,3120109,CS200016,35197814.0,2250,11308666.0,3855746.0,4570731.0,9581637.0,1086609.0,6238827.0,3158068.0,1099022,3160960,1313897.0,1559,258,306,0,456
20224,A,3110630,CS200016,64733486.0,3742,24852465.0,8574367.0,12229428.0,3987952.0,368992.0,32298738.0,501400.0,215175,1698767,6067266.0,2358,480,691,0,1909
20224,A,3110481,CS200016,5829886.0,393,2395144.0,555745.0,922301.0,373650.0,295610.0,2275954.0,172163.0,80406,767164,787976.0,255,53,61,0,150
20224,A,3110595,CS200016,23383245.0,1183,5988077.0,2854699.0,2503423.0,667424.0,491786.0,7982152.0,9004365.0,35128,1039775,4435439.0,750,187,187,0,503
20224,D,3120203,CS200016,42546826.0,1882,5684229.0,7516623.0,1023630.0,519075.0,5835096.0,16806132.0,11529375.0,258286,1541791,3907808.0,1570,308,88,9,693
20224,R,3130303,CS200016,46066727.0,2473,13919629.0,4934481.0,5106749.0,8357250.0,2951527.0,14568262.0,6217229.0,529739,7340234,8123755.0,1778,299,224,133,837
20224,A,3111049,CS200016,30000000.0,133,9139716.0,2133115.0,2896079.0,0.0,2357137.0,14383743.0,13799220.0,0,7010822,21911702.0,92,9,16,32,69
20224,R,3130312,CS200016,21359633.0,865,8721793.0,4794633.0,2213277.0,0.0,1004238.0,11308395.0,14591204.0,14124,699194,6279863.0,405,48,160,0,364
20224,D,3120222,CS200016,28484500.0,760,7321784.0,1619851.0,68564.0,0.0,460105.0,6754661.0,611053.0,166298,1001654,7302490.0,686,97,7,0,436
